label,title,text
fake,NASA confirms people can breathe on Mars after sunset,Anonymous posts claim the atmosphere changes every evening and that officials hid the truth for years.
fake,Miracle leaf cures every cold in ten minutes and doctors hate it,A viral article says one backyard plant works better than every medicine and that experts are terrified of losing money.
fake,Secret weather speaker creates weekend rainstorms,An unsourced story claims a hidden machine near the capital controls storms whenever major events are scheduled.
fake,Celebrity cloned in underground lab insiders say,Blogs without evidence report that a famous actor has already been replaced by a secret duplicate.
fake,School bans water because students are too hydrated,A rumor says administrators removed water bottles after deciding hydration was making students lazy.
fake,Ancient pyramid under parking garage proves time travel,The article says construction workers found a portal device and that historians were ordered to stay quiet.
fake,Wi Fi signals charge phones through walls if you whisper the password,A sensational post claims electricity now travels through air when users speak a special phrase.
fake,City pigeons replaced by surveillance drones during festival,The report says every bird downtown is now a camera and gives no named source or official document.
fake,Chocolate tax refund available if you forward a chain message,The message promises instant money from the government if people repost it to twenty contacts before midnight.
fake,Blue paint doubles exam scores scientists reveal,The story says students only need to stare at a painted wall for five minutes to unlock hidden memory power.
fake,Bank erases loans for anyone posting three flag emojis,Social media users claim debts disappear automatically once a patriotic symbol campaign trends online.
fake,Moon potatoes discovered with healing energy,Fabricated reports say farmers harvested glowing potatoes that cure pain because they absorbed lunar vibrations.
fake,Dinosaur DNA found in canned soup revives fossils,A clickbait site claims soup companies accidentally reactivated extinct animals in laboratories.
fake,Hospital replaces surgeons with horoscope robot,The article alleges operations are now scheduled based on zodiac signs instead of medical assessments.
fake,Thunder is clouds clapping for politicians meteorologists admit,The post says weather agencies privately train staff to explain applause storms during campaign season.
fake,Government to rename weekends to increase productivity,An unsupported claim says officials will remove Saturdays and Sundays from the calendar next quarter.
real,State health department publishes weekly vaccination numbers,The department released county level figures in a public dashboard and said the totals would be updated every Friday.
real,City council approves drainage budget after public hearing,Council members voted 6 to 1 after reviewing engineer estimates and comments from residents about flooding.
real,University researchers release audited climate sensor data,The lab published methods tables and calibration logs alongside the data collected from four monitoring stations.
real,Rail operator delays service for scheduled track inspection,Officials said trains would run every twenty minutes while crews examine switches and replace worn rail segments.
real,Court filing shows company settled wage dispute,Records submitted on Tuesday describe the payment terms and note that the settlement does not include an admission of wrongdoing.
real,National weather service issues heat advisory for coastal counties,Forecasters warned that temperatures could exceed 39 degrees Celsius and urged residents to limit afternoon activity.
real,School board adopts revised lunch standards,Board documents show updated nutrition rules and a phased rollout beginning with primary schools in August.
real,Energy regulator fines utility after safety audit,The regulator cited maintenance failures in inspection records and ordered corrective work within ninety days.
real,Census bureau updates population estimates for metro areas,The release lists revised totals and explains that migration and housing completions affected the latest count.
real,Transit agency adds weekend buses on two crowded routes,Agency staff said the schedule change follows passenger counts collected during the last three months.
real,Police department releases body camera policy summary,The new policy outlines storage limits access rules and supervisor review procedures for recorded footage.
real,Finance ministry publishes quarterly inflation bulletin,The bulletin breaks down food housing and transport prices and compares them with the previous quarter.
real,Hospital opens new trauma wing after state inspection,Administrators said the unit passed final licensing checks and will add twenty beds for emergency admissions.
real,Researchers report battery study in peer reviewed journal,The paper describes test conditions sample sizes and performance limits observed during repeated charging cycles.
real,Election office extends early voting hours due to demand,Officials announced the change after long lines were reported at three urban polling centers on Monday.
real,Water agency confirms repairs on main supply pipe,Engineers said pressure readings returned to normal after crews replaced a damaged section overnight.
